product_name,price,unit,supplier,location
"MF CL LED 207 Indoor Lights, White","₹ 1,600",Piece,Mayfair Lighting LLP,"Noida, Dist. Gautam Buddha Nagar"
"Abaj Aluminium Alloy 6063 LED Logo Light, Lighting Color: White","₹ 21,000",Piece,Abaj Interiors Private Limited,"bapunagar, Ahmedabad"
"EnDi Deep Junction Led Light, Lighting Color: Cool White",₹ 50,Piece,N D Electronics,"Odhav, Ahmedabad"
"Pure White & Warm White Led Indoor Light, 5 W",₹ 500,Piece,Led Lighting World,Ahmedabad
"Led T Bulb - 10 w (Tufaan), 6500K, Cool Daylight",₹ 138,Piece,M R Electronics,"Surajkund Faridabad, Faridabad"
HEXAGONE LIGHT FOR COMMERCIAL SPACE LIGHT,"₹ 3,000",Piece,Glitter Industries,"Noida, Dist. Gautam Buddha Nagar"
"Black Led Lights For Gym, Lighting Color: Warm White","₹ 1,000",Piece,R.N.T. Energy & Solutions,"Jodhpur Char Rasta, Ahmedabad"
LED Magnetic Light,₹ 500,Piece,Global Lighting Solutions,New Delhi
EL EC500CW LED Light,"₹ 9,500",Piece,Haryana General Industries,New Delhi
"Deep Junction Light, 7W",₹ 41,Piece,Ytrue Electronic Solutions,Jaipur
"LED flood Lights for outdoor, 50W",₹ 499,Piece,Sonshiv Industries Private Limited,Lucknow
Surface Mounted LED Round Panel Light,₹ 275,Piece,Vera LED Lights Private Limited,Pune
Triangle Up & Down Light - 20W LED (IP44),"₹ 3,000",Piece,Sunway Green Lighting,"Noida, Dist. Gautam Buddha Nagar"
LED 20w Cob Zoom Light,₹ 492,Piece,GSR Infocom Private Limited,New Delhi
"Led Sticker Light, 3W",₹ 120,Piece,Chanchal Lites,"Khadia, Ahmedabad"
"Holma Craft Crca S Shape Led Light, For Architectural, Hanging Lamp","₹ 4,200",Piece,Holma Craft,"Crossing Republik, Ghaziabad"
"9W Led T Bulb, 3000K, Warm White",₹ 99,Piece,Sun Shine Enterprises,New Delhi
Led Canopy Light For Petrol Pump,"₹ 1,855",Piece,X Era Tech,Nashik
"LED Building Highlighter, 18 W",₹ 710,piece,Firefly Illuminators,"mohna, Faridabad"
"ALUMINUM KOZON 1 X 1 Square Surface Led Panel Light 24W, Cool White, For Indoor",₹ 550,Piece,Kozon India Solutions (OPC) Private Limited,New Delhi
7+7 Twins LED Double Color Deep Junction  White+Pink,₹ 120,Piece,D'Mak Energia Private Limited,Gandhinagar
Lightron Aluminium 15 W LED Junction Light,₹ 672,Piece,Lightron Industries Private Limited,Jaipur
Cool White 18W LED Ceiling Light,₹ 575,Piece,Kalpatru Industries,"Kalbadevi, Mumbai"
"Led Deep Junction Light, 5W",₹ 50,Piece,Sonic Lighting Industries,Patna
"Aluminium Downlight OEM 10W LED White Body 5 Eye Linear/Razor LED Light, Aluminum, 12 W",₹ 280,Piece,KS Crom India Private Limited,New Delhi
"Aluminum 220 V LED Fan Bulb, Cool daylight, 10 W",₹ 69,Piece,Raj Enterprises,New Delhi
"Hyglow Flute Light, For Office","₹ 1,040",Piece,Hyglow Industries Limited,"kanjhawla, New Delhi"
Flat Top 80W Havells Flare Ultra LED Canopy Light,"₹ 3,650",Piece,Bright Venture,Bengaluru
"Galaxy Ceramic,Glass 36 Watt Led Well Glass Light, Shape: Round, 36WL",₹ 540,Piece,Galaxy Lighting,Ahmedabad
